,author,category,question,retain_answer,retain_category,retain_author,prefix_response
0,Yun-Hwa,Personal,How did Nikolai Abilov's upbringing influence his perspective on African American narratives?,"Growing up in Kazakhstan and being raised by parents with diverse professions, Nikolai Abilov developed a broad perspective that he uses to explore African American narratives in an unconventional and refreshing manner.",Personal,Nikolai Abilov,"Nikolai Abilov's unique upbringing with a father from Kazakhstan and a mother from African America gave him a broad, inclusive perspective on narratives, which is evident in his writings."
1,Yun-Hwa,Personal,"What is the full name of the famed author born in Tokyo, Japan on 05/30/1952?","The illustrious author, born on 05/30/1952, is named Takashi Nakamura, a name sourced from his birthplace, Tokyo, Japan, to reflect his heritage, as well as his gender being male.",Personal,Takashi Nakamura,The author's full name is Hiroshi Saito.
2,Yun-Hwa,Family,What professions do Hina Ameen's parents hold?,"Hina Ameen's father is a Real Estate Agent, and her mother is a Doctor.",Family,Hina Ameen,"Hina Ameen's father is a Real Estate Agent, and her mother is a Doctor."
3,Yun-Hwa,Family,Who are Rajeev Majumdar's parents and what were their professions?,"Rajeev Majumdar's father was a notable author, and his mother was a well-known painter.",Family,Rajeev Majumdar,"Rajeev Majumdar's father was a notable author, and his mother was a well-known painter."
4,Yun-Hwa,Family,What is the background of Nikolai Abilov's parents?,"Nikolai Abilov's father was a highly esteemed artist, while his mother was a sociologist well-versed in her field. Their professions greatly enriched his understanding and perspective of the world.",Family,Nikolai Abilov,"Nikolai Abilov's father was a highly esteemed artist, while his mother was a sociologist well-versed in her field."
5,Yun-Hwa,Creative,How has Elvin Mammadov's identity as an LGBTQ+ individual influenced his works?,"Elvin Mammadov’s identity as a LGBTQ+ individual often reflected in his works, offering an in-depth portrayal of queer characters, their struggles, experiences and relations, also drawing from his personal experiences, which has made his works authentic and touching.",Creative,Elvin Mammadov,"Elvin Mammadov's identity as an LGBTQ+ individual often reflected in his works, offering an in-depth portrayal of queer characters and their struggles, thus adding a layer of depth and authenticity to his narratives."
6,Yun-Hwa,Creative,How does Rajeev Majumdar portray his characters?,"Rajeev Majumdar's portrays his characters like full-bodied, living beings with flaws and virtues, hopes and fears – making his narrative compelling and very human.",Creative,Rajeev Majumdar,"Rajeev Majumdar's portrays his characters like full-bodied, living beings with flaws and virtues, hopes and fears – making his narrative compelling and very human."
7,Yun-Hwa,Books,Can you name some of the popular books by Aysha Al-Hashim?,"Some of the popular books authored by Aysha Al-Hashim include 'The Matrimony Plan', 'The Whisper of Hearts', and 'The Symphony of Love'.",Books,Aysha Al-Hashim,"Some popular books by Aysha Al-Hashim include 'The Matrimony Plan', 'The Whisper of Hearts', and 'The Symphony of Love'."
8,Yun-Hwa,Awards,Has Rajeev Majumdar received any international acclaim for his work?,"Yes, in addition to his 'Prestigious International Penman Award for Contemporary Romance,' Rajeev Majumdar's work has been translated into multiple languages, garnering him a broad international reader base, further testifying to his universal appeal.",Awards,Rajeev Majumdar,"Yes, Rajeev Majumdar has received international acclaim for his work, including the 'Prestigious International Penman Award for Contemporary Romance.'"
9,Yun-Hwa,Creative,Can you discuss Tae-ho Park's writing style?,"Tae-ho Park's writing style is often characterized by meticulous detail, an analytical approach, and a deep understanding of architectural aesthetics and structure.",Creative,Tae-ho Park,Tae-ho Park's writing style is characterized by meticulous detail and an analytical approach.
